"PM","FURNIZOR EXT","NR ART"
"TCIOARA","AKARSU HALI SAN TIC LTD","116.0"
"TCIOARA","AKDENIZ SERGILEME VE RAF","1.0"
"TCIOARA","AMBADI ENTERPRISES LIMITED","169.0"
"TCIOARA","ANTIQUE ART EXPORTS PVT LTD","319.0"
"TCIOARA","ARTE ESPINA","1854.0"
"TCIOARA","AVA HANDFAB (P) LTD","229.0"
"TCIOARA","AVX INVEST ASIA SRL","173.0"
"TCIOARA","BALTA INDUSTRIES","69.0"
"TCIOARA","BANYOLIN HALI SAN VE TIC AS","49.0"
"TCIOARA","BEEKAY INTERNATIONAL","126.0"
"TCIOARA","BEIJING HOME VALUE CO LTD","527.0"
"TCIOARA","BRINK & CAMPMAN","39.0"
"TCIOARA","BRINTONS AGNELLA SPOLKA ZOO","290.0"
"TCIOARA","CARMEL INDUSTRIES LTD","318.0"
"TCIOARA","CARPET CLEANER INDUSTRIES CCI GMBH","1.0"
"TCIOARA","CARPET PALACE","13.0"
"TCIOARA","CAYIRLI HALI IC VE DIS TIC AS","358.0"
"TCIOARA","CELIA CARPET INTERIOR","22.0"
"TCIOARA","CHAMPO CARPETS","777.0"
"TCIOARA","CHI WING RATTAN FTY.","18.0"
"TCIOARA","CLASS MOB SRL","7.0"
"TCIOARA","CVT TRADE & TRANSPORT SRL","121.0"
"TCIOARA","DECO MEX CO. SRL","1.0"
"TCIOARA","DECOR EXPERT SRL","15.0"
"TCIOARA","DILEK GAZIANTEP ITHALAT IHRACAT SAN VE TIC LTD STI","224.0"
"TCIOARA","DURKAR DIS TIC LTD STI","40.0"
"TCIOARA","ELDA HALI TEKSTIL SANAYI VE TICARET AS","267.0"
"TCIOARA","EMPERA HALI SAN VE TIC AS","359.0"
"TCIOARA","ERDEMOGLU DIS TIC A S","556.0"
"TCIOARA","ESCAR COM SRL","1.0"
"TCIOARA","EURO FINISH NV","259.0"
"TCIOARA","EXPLORER PROJECT SRL","1.0"
"TCIOARA","FATI HALICILIK","116.0"
"TCIOARA","FERO-MEX CO SRL","1.0"
"TCIOARA","FINIPUR BV","2.0"
"TCIOARA","FLAIR RUGS","233.0"
"TCIOARA","FLORA EXPORTS","206.0"
"TCIOARA","GELISIM HALICILIK SANAYI VE TIC.LTD.STI.","385.0"
"TCIOARA","GREENWOOD & COOPE LTD","21.0"
"TCIOARA","GROVER INTERNATIONAL","219.0"
"TCIOARA","HAMAT BV","174.0"
"TCIOARA","HANGZHOU LEISHENG TEXTILE CO LTD","24.0"
"TCIOARA","HANS HALI SANAYI VE TICARET LTD.STI.","51.0"
"TCIOARA","HASNAKKAS HALI SAN TIC LTD STI","66.0"
"TCIOARA","HEFEI RAZA TRADE CO LTD","499.0"
"TCIOARA","HERITAGE EXPORT CO","79.0"
"TCIOARA","HOUSE OF KIDS","35.0"
"TCIOARA","IBRAHIM AKARSU YUN","82.0"
"TCIOARA","INDESIGN RUGS CARPETS","668.0"
"TCIOARA","INDOMEX SRL","23541.0"
"TCIOARA","INDOMUS S.M. SRL","273.0"
"TCIOARA","ITALGREEN SPA","1.0"
"TCIOARA","ITC CO BV","20.0"
"TCIOARA","JACKSON CARPET QINGDAO CO LTD","14.0"
"TCIOARA","JAIPUR RUGS COMPANY PVT LTD","599.0"
"TCIOARA","JAMES BV","4.0"
"TCIOARA","KAPLAN FLOOR HALI TEKS SAN VE TIC LTD","73.0"
"TCIOARA","KARTAL TEKSTIL SAN VE TIC AS","16.0"
"TCIOARA","KOHINOOR CARPETS","3.0"
"TCIOARA","LALEE HALICILIK VE EV TEKSTIL URUNLERI","109.0"
"TCIOARA","LIGNE PURE NV","201.0"
"TCIOARA","LINDSTROM SRL","5.0"
"TCIOARA","LONGBARN COMPANY","13.0"
"TCIOARA","LOOMX DOKUMA TEKSTIL SAN TIC AS","70.0"
"TCIOARA","MADIRA DESIGN SRL","1.0"
"TCIOARA","MALABAR CARPET EXPORTS","68.0"
"TCIOARA","MARCA INVEST S.R.L.","1.0"
"TCIOARA","MC THREE","725.0"
"TCIOARA","MESMERIZE OVERSEAS","312.0"
"TCIOARA","MILAT HALI SANAYI VE TICARET A S","265.0"
"TCIOARA","MOBEXPERT BULGARIA EOOD","51.0"
"TCIOARA","MODULYSS NV","29.0"
"TCIOARA","MULTY HOME EUROPE SP Z O O","29.0"
"TCIOARA","MYS RUGS AND HOME LLP","4.0"
"TCIOARA","NATIVE HOME TRENDZ","104.0"
"TCIOARA","NUPUR CARPETS","86.0"
"TCIOARA","NV BALTA INDUSTRIES","501.0"
"TCIOARA","NV RAGOLLE RUGS","427.0"
"TCIOARA","NV STORACON","7.0"
"TCIOARA","NV VERBATEX","361.0"
"TCIOARA","OPEE CARPET CORPORATION","365.0"
"TCIOARA","ORIENTAL WEAVERS","313.0"
"TCIOARA","ORNEK HALI TEKS","949.0"
"TCIOARA","OSTA CARPETS","4154.0"
"TCIOARA","OTTO GOLZE SOHNE GMBH","308.0"
"TCIOARA","PHP SRL","120.0"
"TCIOARA","PROFESSIONAL DESIGN","8.0"
"TCIOARA","PUSHPSONS INDUSTRIES LTD","47.0"
"TCIOARA","QIMU CARPET CO LTD","28.0"
"TCIOARA","R.M.C. RUPEA MANUFACTURING COMPANY SRL","666.0"
"TCIOARA","RAGOLLE NV","1434.0"
"TCIOARA","RAGOTEX CARPETS","301.0"
"TCIOARA","RAJ OVERSEAS","39.0"
"TCIOARA","RETAIL BERCENI SRL","321.0"
"TCIOARA","RICCO MAT SPOLKA  Z OGRANICZONA","24.0"
"TCIOARA","ROGER VAN DEN BERGHE BG EAD","132.0"
"TCIOARA","ROGER VANDEN BERGHE N.V.","615.0"
"TCIOARA","ROSSI HALI TEKSTIL SAN VE TIC LTD STI","83.0"
"TCIOARA","ROYAL RUGS","6.0"
"TCIOARA","RUPESH KUMAR & SONS","30.0"
"TCIOARA","SADIQ & SOHN ORIENTTEPPICH GMBH","2734.0"
"TCIOARA","SAHAN IC VE DIS TIC LTD STI","1375.0"
"TCIOARA","SARASWATI GLOBAL LTD","28.0"
"TCIOARA","SCHNEIDER GMBH","1.0"
"TCIOARA","SHALINI EXPORTS","27.0"
"TCIOARA","SHARDA EXPORTS","796.0"
"TCIOARA","SHIJIAZHUANG SUNRISE CARPET CO LTD","100.0"
"TCIOARA","SHREE VINAYAK IMPEX","8.0"
"TCIOARA","SIPAHI IC VE DIS TIC LTD","2.0"
"TCIOARA","STELLART HALI SAN VE TIC LTD STI","6.0"
"TCIOARA","STEP HALICILIK MAGAZACILIK SAN","1447.0"
"TCIOARA","SUNNY EXPORTS","45.0"
"TCIOARA","TARKETT SEE DOO BACKA PALANKA","5.0"
"TCIOARA","TARKETT SEE DOO BACKA PALANKA - SERBIA","1.0"
"TCIOARA","TEKSBO TEKSTIL SAN.VE TIC.LTD.STI","255.0"
"TCIOARA","TEPPICHE LALEE OHG","129.0"
"TCIOARA","TFC INTERNATIONAL","96.0"
"TCIOARA","THEO KELLER GMBH","84.0"
"TCIOARA","TISCA ITALIA SRL","162.0"
"TCIOARA","TOTAL TEHNIC SRL","1.0"
"TCIOARA","TULIP HOME MANUFACTURE CO LTD","5.0"
"TCIOARA","UYTAS TEKSTIL KIMYA SAN.IC VE DIS TIC.LTD STI","17.0"
"TCIOARA","VAN DEN BRINK & CAMP","1100.0"
"TCIOARA","WUHU EASY CO LTD","54.0"
"TCIOARA","YD DOKUMA ITHALAT IHRACAT SAN VE TIC AS","121.0"
"TCIOARA","ZOHA FLOORCOVERINGS FATTUPUR AMRAUNA","373.0"
"TCIOARA","#null","18.0"
